"measure_id","plot_id","year","tree_id","code_status","code_diam","dbh","h_tot","crown_h1","crown_h2","crown_h3","crown_h4","crown_r1","crown_r2","crown_r3","crown_r4","stratum"
"01Aillon82","Aillon",2001,"82Aillon","0000",1,21,12,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon83","Aillon",2001,"83Aillon","0000",1,9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon84","Aillon",2001,"84Aillon","0000",1,10,9.2,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon85","Aillon",2001,"85Aillon","0000",1,24,10.4,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon86","Aillon",2001,"86Aillon","0000",1,15,10.1,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon87","Aillon",2001,"87Aillon","0000",1,22,13.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon88","Aillon",2001,"88Aillon","0000",1,14,14,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon89","Aillon",2001,"89Aillon","0000",1,19,13,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon90","Aillon",2001,"90Aillon","0000",1,16,13.6,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon91","Aillon",2001,"91Aillon","0000",1,8,6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon92","Aillon",2001,"92Aillon","0000",1,15,7.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon93","Aillon",2001,"93Aillon","0000",1,9,6.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon94","Aillon",2001,"94Aillon","0000",1,17,10,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon95","Aillon",2001,"95Aillon","0000",1,9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon96","Aillon",2001,"96Aillon","0000",1,13,8.5,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon97","Aillon",2001,"97Aillon","0000",1,16,11.2,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon98","Aillon",2001,"98Aillon","0000",1,17,9.3,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon99","Aillon",2001,"99Aillon","0000",1,12,8.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon100","Aillon",2001,"100Aillon","0000",1,8,7.1,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon101","Aillon",2001,"101Aillon","0000",1,14,8.2,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon102","Aillon",2001,"102Aillon","0000",1,33,21.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon103","Aillon",2001,"103Aillon","0000",1,10,6.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon104","Aillon",2001,"104Aillon","0000",1,22,11.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon105","Aillon",2001,"105Aillon","0000",1,17,11,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon106","Aillon",2001,"106Aillon","0000",1,17,11,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon107","Aillon",2001,"107Aillon","0000",1,16,7.7,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon108","Aillon",2001,"108Aillon","0000",1,20,11.4,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon109","Aillon",2001,"109Aillon","0000",1,16,10.8,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon110","Aillon",2001,"110Aillon","0000",1,42,26.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon111","Aillon",2001,"111Aillon","0000",1,49,17.5,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon112","Aillon",2001,"112Aillon","0000",1,12,6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon113","Aillon",2001,"113Aillon","0000",1,60,30.7,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon114","Aillon",2001,"114Aillon","0000",1,47,25.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon115","Aillon",2001,"115Aillon","0000",1,48,27,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon116","Aillon",2001,"116Aillon","0000",1,22,10.2,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon117","Aillon",2001,"117Aillon","0000",1,73,30.5,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon118","Aillon",2001,"118Aillon","0000",1,32,20.7,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon119","Aillon",2001,"119Aillon","0000",1,26,20.5,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon120","Aillon",2001,"120Aillon","0000",1,21,10.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon121","Aillon",2001,"121Aillon","0000",1,22,13.1,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon122","Aillon",2001,"122Aillon","0000",1,60,27.5,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon123","Aillon",2001,"123Aillon","0000",1,37,24.3,NA,NA,NA,NA,NA,NA,NA,NA,2
